CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
403250906,01/01/2016,00:01:00,12/31/2017,23:59:00,01/02/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,26,INSIDE,RESIDENCE - PUBLIC HOUSING,,GRANT,996241,236149,40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)"
235290134,01/01/2016,12:00:00,03/01/2016,12:00:00,03/11/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,PHOTO/COPY,,,981983,208095,40.73785727300003,-74.00818192199995,"(40.73785727300003, -74.00818192199995)"
563999853,02/03/2016,20:40:00,02/03/2019,20:50:00,02/03/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,5,INSIDE,BAR/NIGHT CLUB,,,985464,200485,40.71696988100007,-73.99562209899995,"(40.71696988100007, -73.99562209899995)"
877956688,02/20/2016,00:00:00,08/08/2018,00:00:00,02/20/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
505910152,02/25/2016,20:11:00,02/25/2019,20:29:00,02/25/2019,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,RESIDENCE - APT. HOUSE,,,998903,231702,40.802640491000034,-73.94707461199994,"(40.802640491000034, -73.94707461199994)"
748658209,03/05/2016,00:00:00,03/04/2019,23:35:00,03/05/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1003411,248824,40.84962687400008,-73.93074276299996,"(40.84962687400008, -73.93074276299996)"
849426894,03/06/2016,08:00:00,03/06/2016,09:00:00,03/06/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,999794,241252,40.82885104500008,-73.94383419099995,"(40.82885104500008, -73.94383419099995)"
337642706,03/18/2016,13:40:00,03/12/2019,13:46:00,03/18/2019,126,MISCELLANEOUS PENAL LAW,708,"IMPERSONATION 1, POLICE OFFICE",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,23,,STREET,,,999049,226734,40.78900443500004,-73.94655820499997,"(40.78900443500004, -73.94655820499997)"
455393595,03/23/2016,00:01:00,03/23/2017,00:01:00,03/23/2019,233,SEX CRIMES,175,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,999358,236472,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)"
546531997,03/24/2016,20:00:00,03/25/2016,08:00:00,03/26/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,STREET,,,999162,243927,40.83619424000005,-73.94611193699996,"(40.83619424000005, -73.94611193699996)"
181592115,04/21/2016,09:00:00,01/11/2019,09:30:00,01/12/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,FRONT OF,PUBLIC BUILDING,,,982514,197852,40.709742835000036,-74.00626316399996,"(40.709742835000036, -74.00626316399996)"
153768808,04/23/2016,04:00:00,04/28/2016,04:00:00,03/22/2019,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,GROCERY/BODEGA,,,1001540,241249,40.828839565000074,-73.93752514099998,"(40.828839565000074, -73.93752514099998)"
738608402,06/01/2016,00:01:00,07/01/2017,23:59:00,03/15/2019,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,25,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1000555,230994,40.800694331000045,-73.94110928599997,"(40.800694331000045, -73.94110928599997)"
141577142,07/01/2016,19:00:00,05/31/2018,18:00:00,01/16/2019,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,OTHER,,,995918,231111,40.80102280400007,-73.95785749799995,"(40.80102280400007, -73.95785749799995)"
851935504,08/17/2016,07:27:00,,,01/04/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,,STREET,,,1001494,248376,40.84840119800003,-73.93767303599996,"(40.84840119800003, -73.93767303599996)"
636533717,08/24/2016,12:00:00,02/28/2019,12:00:00,02/28/2019,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,RESIDENCE - APT. HOUSE,,,981926,196411,40.70578749500004,-74.00838356999998,"(40.70578749500004, -74.00838356999998)"
246724531,09/01/2016,14:50:00,03/20/2019,14:51:00,03/23/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,10,INSIDE,RESIDENCE - APT. HOUSE,,,982246,210981,40.745778689000076,-74.00723374599994,"(40.745778689000076, -74.00723374599994)"
680585582,09/16/2016,18:57:00,,,01/04/2019,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,,STREET,,,1003372,248278,40.848128350000025,-73.93088528799996,"(40.848128350000025, -73.93088528799996)"
437013982,09/28/2016,13:30:00,01/25/2018,17:30:00,01/02/2019,116,SEX CRIMES,168,SODOMY 1,COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,PUBLIC SCHOOL,,,996241,236149,40.81485028900005,-73.95668184799997,"(40.81485028900005, -73.95668184799997)"
